Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,72.15161412645858,73.21353079181691,71.89588121877169,73.15264129638672,135480400,0.0,0.0
2020-01-03 00:00:00-05:00,72.37326370789641,73.20866592744667,72.21495248243775,72.44145965576172,146322800,0.0,0.0
2020-01-06 00:00:00-05:00,71.55490588235317,73.0576545585882,71.30160348477573,73.01868438720703,118387200,0.0,0.0
2020-01-07 00:00:00-05:00,73.02842469606867,73.28659556330196,72.4536314242058,72.6752700805664,108872000,0.0,0.0
2020-01-08 00:00:00-05:00,72.37570571522127,74.14880789170621,72.37570571522127,73.8443603515625,132079200,0.0,0.0
2020-01-09 00:00:00-05:00,74.83075749765555,75.60770811182431,74.57746252942019,75.4128646850586,170108400,0.0,0.0
2020-01-10 00:00:00-05:00,75.64912418851017,76.15329108504514,75.07676134216379,75.58335876464844,140644800,0.0,0.0
2020-01-13 00:00:00-05:00,75.90242007069116,77.22493825091546,75.78307159421242,77.1981430053711,121532000,0.0,0.0
2020-01-14 00:00:00-05:00,77.13483161625165,77.34672591459271,76.03151402990918,76.15572357177734,161954400,0.0,0.0
2020-01-15 00:00:00-05:00,75.95357030167065,76.84255559136557,75.39338239393894,75.82935333251953,121923600,0.0,0.0
2020-01-16 00:00:00-05:00,76.37736655156505,76.89127789232518,76.01202948352955,76.77923583984375,108829200,0.0,0.0
2020-01-17 00:00:00-05:00,77.03009906875741,77.63168772825709,76.72078303202416,77.62925720214844,137816400,0.0,0.0
2020-01-21 00:00:00-05:00,77.25416181264139,77.69986967758233,76.96432720102617,77.10315704345703,110843200,0.0,0.0
2020-01-22 00:00:00-05:00,77.5926969683872,77.93611460756634,77.28338101369941,77.37837219238281,101832400,0.0,0.0
2020-01-23 00:00:00-05:00,77.43198475052839,77.83141611957831,76.8791031755938,77.75104522705078,104472000,0.0,0.0
2020-01-24 00:00:00-05:00,77.99944246409193,78.74959776599233,77.33452650826229,77.52693939208984,146537600,0.0,0.0
2020-01-27 00:00:00-05:00,75.517591596215,75.93407368792116,74.25596296162433,75.24724578857422,161940000,0.0,0.0
2020-01-28 00:00:00-05:00,76.13622163156182,77.54885486074862,76.03636197360079,77.37593078613281,162234000,0.0,0.0
2020-01-29 00:00:00-05:00,79.02239308339786,79.85048876550773,78.2746682678151,78.99559783935547,216229200,0.0,0.0
2020-01-30 00:00:00-05:00,78.07008910438653,78.9347170944295,77.63411817135375,78.88113403320312,126743200,0.0,0.0
2020-01-31 00:00:00-05:00,78.16508040238551,78.59130697461607,75.08651062573136,75.38365173339844,199588400,0.0,0.0
2020-02-03 00:00:00-05:00,74.11469611343875,76.3529947185967,73.60809874601334,75.1766128540039,173788400,0.0,0.0
2020-02-04 00:00:00-05:00,76.7962802932369,77.85089070420034,76.38710459497537,77.65847778320312,136616400,0.0,0.0
2020-02-05 00:00:00-05:00,78.79589226815672,79.0979092837948,77.68283770475287,78.29173278808594,118826800,0.0,0.0
2020-02-06 00:00:00-05:00,78.56450737558667,79.20993460161003,78.00188897924173,79.2074966430664,105425600,0.0,0.0
2020-02-07 00:00:00-05:00,78.70214452013951,78.95360437686197,77.63527107510883,78.13086700439453,117684000,0.1925,0.0
2020-02-10 00:00:00-05:00,76.70267141707022,78.501953125,76.62210978929447,78.501953125,109348800,0.0,0.0
